tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570310600460525568,0,0.6292,6,0.3146,US Airways,,jhazelnut,,0,airway better time call flight friday need change worried hold,,2015-02-24 11:53:37 -0800,nan,
570310144459972608,0,1.0,3,1.0,US Airways,,GAKotsch,,0,airway one agent available speak,,2015-02-24 11:51:48 -0800,nan,Atlantic Time (Canada)
570309340952993796,1,1.0,9,,US Airways,,DebbiMcGinnis,,0,airway admi possible arent following,,2015-02-24 11:48:37 -0800,Missourah,Hawaii
570309000279023616,1,1.0,9,,US Airways,,AshleyKAtherton,,0,airway fortunately staff like lynn deedeed actually understand customer service simply nice,,2015-02-24 11:47:16 -0800,nan,Central Time (US & Canada)
570308799950692353,0,1.0,3,0.6452,US Airways,,retardedlarry,,0,airway hung another waste hour time supposed book one way award flight websterite,,2015-02-24 11:46:28 -0800,nan,
570308156699611137,1,1.0,9,,US Airways,,AshleyKAtherton,,0,airway never received horrible service untreated poorly richard p today excuse attitude lamp ripping ticket,,2015-02-24 11:43:55 -0800,nan,Central Time (US & Canada)
570307605631012864,0,1.0,3,1.0,US Airways,,Matt_Bernanke,,0,airway your killing inside,,2015-02-24 11:41:43 -0800,nan,Quito
570307109218340865,0,0.7020000000000001,5,0.7020000000000001,US Airways,,jeremyleewhite,,0,airway new americana like new respirit love aa unimpressed subpart plane gate agent,"[35.21979387, -80.94498281]",2015-02-24 11:39:45 -0800,nan,
570307011981783040,2,1.0,9,,US Airways,,noelzucchero,,0,airway move delta direct thank accommodation,,2015-02-24 11:39:22 -0800,nan,Eastern Time (US & Canada)
570306867135696897,1,1.0,9,,US Airways,,AshleyKAtherton,,0,airway agree richard p literally unripped tettix face made rude inappropriate comment us family awful,,2015-02-24 11:38:47 -0800,nan,Central Time (US & Canada)
570306715880706049,0,1.0,0,0.6505,US Airways,,Anthony_Scerri,,0,airway flight cobblestone phoenix sideboard passenger going salt lake city cant resolve simple bathroom issue fail,,2015-02-24 11:38:11 -0800,"Astoria, NY",Quito
570304779412508673,0,1.0,3,0.7072,US Airways,,TheOnlyJasonS,,1,airway always fun get screwed carlie flight hisn full service southwest americana,,2015-02-24 11:30:29 -0800,nan,
570304740279640064,1,0.6665,9,0.0,US Airways,,eec_x3,,0,airway shout cathy vega airport check cooking us,,2015-02-24 11:30:20 -0800,Paper Street,Eastern Time (US & Canada)
570304445336178688,0,1.0,3,0.66,US Airways,,justdetric,,0,airway oki know door close cobblestone minute offtake stop telling flight leave cobblestone minute havent unboarded,,2015-02-24 11:29:10 -0800,"Raleigh, NC",Eastern Time (US & Canada)
570304440017788929,0,1.0,3,1.0,US Airways,,djndc4l,,0,airway finally got phone 2 hour wait time,,2015-02-24 11:29:08 -0800,nan,
570304244001193984,0,1.0,10,0.3663,US Airways,,Anthony_Scerri,,0,airway stuck cobblestone minute due lavatory issue beverage snack customer service flybelt cobblestone pho fail refund,,2015-02-24 11:28:22 -0800,"Astoria, NY",Quito
570304059384713218,1,1.0,9,,US Airways,,kschus1,,0,airway issuing travel advisory elt thursday significant snow storm way wednesday night,,2015-02-24 11:27:38 -0800,nan,
570303720308809728,0,1.0,3,1.0,US Airways,,jhazelnut,,0,airway jive hold change date ticket 3 hour someone please assist unacceptable,,2015-02-24 11:26:17 -0800,nan,
570302717085790209,0,1.0,3,0.6519,US Airways,,TheOnlyJasonS,,1,airway thanks 4 making impossibly expensive 2 change 2 flight leaving less cobblestone urs carlie reservation customer,,2015-02-24 11:22:18 -0800,nan,
570302023968694272,2,0.6652,9,,US Airways,,RickAdamek,,0,airway well miss gate agent rebook boarding pass waiting landed time lunch lamp beverage easy cheesy,"[33.43720156, -111.99928786]",2015-02-24 11:19:32 -0800,"Fort Mill, SC",Eastern Time (US & Canada)
570300325917270018,0,1.0,3,0.698,US Airways,,GAKotsch,,0,airway cant get anyone phone help award unpurchased extra miles cobblestone minute late flight miles needer raised,,2015-02-24 11:12:48 -0800,nan,Atlantic Time (Canada)
570298036938772483,0,1.0,3,0.6915,US Airways,,hsgoldstein,,0,airway havent tissued travel advisory charlotte wednesday night thursday cobblestone pinche snow,,2015-02-24 11:03:42 -0800,nan,
570297185704812545,1,1.0,9,,US Airways,,EricGuster,,0,airway need help ticket admi,,2015-02-24 11:00:19 -0800,:airplane:️ Birmingham :airplane:️ Brooklyn :airplane:️,Central Time (US & Canada)
570296537433186305,0,0.66,5,0.66,US Airways,,AshleyKAtherton,,0,airway deedeed lynn great phu richard p jerk rude us parent reason,,2015-02-24 10:57:44 -0800,nan,Central Time (US & Canada)
570296516314845185,0,1.0,2,0.3542,US Airways,,airham_gouda,,0,airway thanks making miss meeting pallas cobblestone dollar toilet smilingness,,2015-02-24 10:57:39 -0800,nan,
