price_range;Brand;Model;RAM;Storage;Color
médio;Samsung;Galaxy M23;4;128;Blue
baixo;Motorola;Moto G13;4;128;Blue
médio;Xiaomi;Redmi Note 11S;6;128;Gray
alto;Nothing;Phone (2);12;512;White
baixo;Motorola;Moto E32s;4;64;Gray
alto;Nothing;Phone (2);12;256;White
médio;Realme;9 Pro;8;128;Black
médio;Samsung;Galaxy M23;4;128;Green
médio;POCO;M4;6;128;Black
baixo;Realme;C31;4;64;Silver
médio;Xiaomi;Redmi Note 12;4;128;Gray
muito alto;Apple;iPhone 14;6;128;Black
baixo;Samsung;Galaxy M13;4;64;Green
baixo;Xiaomi;Redmi 10C;4;64;Gray
baixo;Realme;Narzo 50i;3;32;Blue
médio;Xiaomi;Redmi Note 11;4;128;Gray
baixo;Realme;C53;6;128;Gold
muito alto;Apple;iPhone 14;6;256;Black
baixo;Motorola;Moto E20;2;32;Gray
médio;Realme;10 AMOLED;8;128;Black
médio;Samsung;Galaxy M53;8;128;Brown
médio;Realme;10 AMOLED;8;128;White
baixo;Realme;C53;6;128;Black
alto;Realme;11 Pro;12;512;White
médio;POCO;M4;6;128;Blue
baixo;Xiaomi;Redmi Note 12;4;128;Green
médio;Samsung;Galaxy M33;6;128;Blue
muito alto;Apple;iPhone 14;6;128;Gold
baixo;Realme;C31;4;64;Green
médio;Xiaomi;Redmi Note 12;4;128;Blue
baixo;Xiaomi;Redmi 10C;4;128;Blue
alto;Realme;11 Pro;12;512;Black
médio;Motorola;Moto G23;8;128;Gray
baixo;Realme;C33;4;128;Black
baixo;Realme;Narzo 50A;4;64;Blue
baixo;Xiaomi;Redmi 9C;3;64;Green
baixo;Xiaomi;Redmi A1;2;32;Black
médio;Motorola;Moto G32;6;128;Silver
alto;Nothing;Phone (2);12;256;Gray
médio;Samsung;Galaxy A54;8;128;Black
baixo;Xiaomi;Redmi A1;2;32;Blue
baixo;Xiaomi;Redmi A1;2;32;Green
baixo;Xiaomi;Redmi 12C;4;128;Gray
baixo;Xiaomi;Redmi 10A;2;32;Gray
médio;Realme;9;6;128;Black
médio;Xiaomi;Redmi Note 12;4;128;Green
alto;Realme;GT2;8;128;White
